Constituency_Number,Constituency_Name,Districts,Classification,Caste Majority,1983,1985,1989,1994,1999,VM_1999,2004,VM_2004,2009,VM_2009,2014,VM_2014,2019,VM_2019,predicted_cluster
52,JAGGAMPETA,EAST GODAVARI,URBAN,OBC,TDP,TDP,TDP,TDP,TDP,1,INC,0,INC,0,YSRCP,2,YSRCP,2,4
53,RAMPACHODAVARAM,EAST GODAVARI,RURAL,ST,TDP,TDP,TDP,TDP,TDP,1,TDP,1,INC,2,YSRCP,1,YSRCP,2,2
54,KOVVUR,WEST GODAVARI,RURAL,FC,TDP,TDP,TDP,TDP,INC,1,TDP,0,TDP,2,TDP,2,YSRCP,2,3
56,ACHANTA,WEST GODAVARI,RURAL,FC,TDP,CPM,CPM,CPM,TDP,2,TDP,1,INC,2,TDP,0,YSRCP,2,2
57,PALACOLE,WEST GODAVARI,RURAL,FC,TDP,TDP,INC,TDP,TDP,2,TDP,2,INC,1,TDP,1,TDP,2,4
58,NARASAPURAM,WEST GODAVARI,RURAL,OBC,INC,CPI,CPI,CPI,INC,1,INC,2,INC,2,TDP,2,YSRCP,2,1
59,BHIMAVARAM,WEST GODAVARI,SEMI_URBAN,FC,TDP,TDP,INC,TDP,TDP,2,INC,1,INC,2,TDP,2,YSRCP,2,5
60,UNDI,WEST GODAVARI,RURAL,OBC,TDP,TDP,TDP,TDP,TDP,2,INC,2,TDP,2,TDP,2,TDP,2,3
61,TANUKU,WEST GODAVARI,RURAL,FC,TDP,TDP,TDP,TDP,TDP,2,INC,1,INC,0,TDP,2,YSRCP,0,0
62,TADEPALLIGUDEM,WEST GODAVARI,SEMI_URBAN,FC,TDP,TDP,TDP,TDP,TDP,2,INC,2,PRAP,0,BJP,2,YSRCP,2,0
63,UNGUTUR,WEST GODAVARI,RURAL,FC,TDP,TDP,INC,TDP,TDP,0,INC,2,INC,1,TDP,1,YSRCP,2,4
64,DENDULURU,WEST GODAVARI,RURAL,OBC,TDP,TDP,INC,TDP,TDP,1,INC,2,TDP,2,TDP,2,YSRCP,2,3
65,ELURU,WEST GODAVARI,URBAN,FC,TDP,TDP,INC,TDP,TDP,1,INC,2,INC,2,TDP,2,YSRCP,0,0
66,GOPALAPURAM,WEST GODAVARI,RURAL,FC,TDP,TDP,TDP,TDP,TDP,0,INC,1,TDP,2,TDP,2,YSRCP,2,3
67,POLAVARAM,WEST GODAVARI,RURAL,OBC,TDP,TDP,INC,TDP,TDP,0,INC,2,INC,1,TDP,2,YSRCP,2,4
68,CHINTALAPUDI,WEST GODAVARI,RURAL,FC,TDP,TDP,TDP,TDP,TDP,2,INC,0,INC,0,TDP,2,YSRCP,2,0
69,TIRUVURU,KRISHNA,RURAL,FC,TDP,TDP,INC,TDP,TDP,0,INC,2,INC,0,YSRCP,0,YSRCP,2,4
70,NUZVID,KRISHNA,RURAL,OBC,TDP,TDP,INC,TDP,TDP,0,INC,2,TDP,1,YSRCP,2,YSRCP,2,4
46,GANNAVARAM,KRISHNA,RURAL,OBC,TDP,TDP,INC,IND,TDP,2,IND,0,TDP,2,TDP,1,TDP,0,3
72,GUDIVADA,KRISHNA,SEMI_URBAN,OBC,TDP,TDP,INC,TDP,TDP,2,TDP,1,TDP,2,YSRCP,2,YSRCP,2,2
73,KAIKALUR,KRISHNA,RURAL,OBC,INC,INC,INC,INC,IND,0,INC,0,TDP,0,BJP,2,YSRCP,1,1
74,PEDANA,KRISHNA,RURAL,OBC,INC,TDP,INC,TDP,INC,0,INC,2,INC,0,TDP,2,YSRCP,1,0
76,AVANIGADDA,KRISHNA,RURAL,FC,INC,TDP,TDP,TDP,INC,0,INC,1,TDP,0,TDP,1,YSRCP,2,3
78,PENAMALURU,KRISHNA,SEMI_URBAN,FC,TDP,TDP,TDP,TDP,TDP,2,INC,2,INC,0,TDP,2,YSRCP,2,0
79,VIJAYAWADA WEST,KRISHNA,URBAN,OBC,TDP,CPI,INC,CPI,INC,0,CPI,2,PRAP,1,YSRCP,0,YSRCP,1,1
81,VIJAYAWADA EAST,KRISHNA,URBAN,OBC,TDP,INC,INC,INC,BJP,1,INC,2,PRAP,0,TDP,2,TDP,2,1
82,MYLAVARAM,KRISHNA,RURAL,OBC,TDP,INC,INC,TDP,TDP,1,INC,2,TDP,2,TDP,1,YSRCP,2,3
83,NANDIGAMA,KRISHNA,RURAL,FC,TDP,TDP,INC,TDP,TDP,2,TDP,0,TDP,1,TDP,1,YSRCP,2,3
75,MACHILIPATNAM,KRISHNA,URBAN,OBC,TDP,TDP,INC,TDP,TDP,2,INC,2,INC,2,TDP,2,YSRCP,1,0
84,JAGGAYYAPETA,KRISHNA,RURAL,FC,TDP,TDP,TDP,TDP,INC,1,INC,2,TDP,1,TDP,0,YSRCP,0,4
85,PEDAKURAPADU,GUNTUR,RURAL,OBC,TDP,TDP,INC,INC,INC,0,INC,2,TDP,1,TDP,1,YSRCP,2,3
86,TADIKONDA,GUNTUR,RURAL,FC,TDP,TDP,INC,CPI,TDP,1,INC,2,INC,0,TDP,1,YSRCP,0,0
87,MANGALAGIRI,GUNTUR,SEMI_URBAN,OBC,TDP,TDP,INC,CPM,INC,2,INC,1,INC,2,YSRCP,0,YSRCP,1,2
88,PONNUR,GUNTUR,RURAL,FC,TDP,TDP,INC,TDP,TDP,2,TDP,1,TDP,0,TDP,1,TDP,0,3
89,VEMURU,GUNTUR,RURAL,SC,TDP,TDP,INC,TDP,TDP,2,INC,1,TDP,0,TDP,0,YSRCP,2,3
90,REPALLE,GUNTUR,RURAL,OBC,TDP,TDP,INC,TDP,TDP,2,INC,2,INC,1,TDP,2,TDP,2,4
91,TENALI,GUNTUR,SEMI_URBAN,FC,TDP,TDP,INC,TDP,TDP,1,INC,2,INC,0,TDP,2,YSRCP,2,0
92,BAPATLA,GUNTUR,RURAL,OBC,TDP,TDP,INC,TDP,TDP,2,INC,2,INC,0,YSRCP,1,YSRCP,2,0
36,PRATHIPADU,GUNTUR,RURAL,FC,TDP,TDP,INC,TDP,TDP,2,INC,2,INC,0,TDP,0,YSRCP,1,0
94,GUNTUR WEST,GUNTUR,URBAN,FC,TDP,INC,INC,TDP,TDP,1,INC,2,INC,0,TDP,2,TDP,0,0
95,GUNTUR EAST,GUNTUR,URBAN,OBC,TDP,INC,INC,TDP,INC,1,INC,2,INC,1,YSRCP,0,YSRCP,2,1
96,CHILAKALURIPET,GUNTUR,RURAL,FC,TDP,INC,TDP,INC,TDP,2,IND,0,TDP,2,TDP,2,YSRCP,1,3
97,NARASARAOPET,GUNTUR,SEMI_URBAN,FC,TDP,TDP,TDP,TDP,TDP,2,INC,2,INC,1,YSRCP,2,YSRCP,2,4
98,SATTENAPALLE,GUNTUR,RURAL,FC,TDP,CPM,INC,CPM,TDP,2,INC,2,INC,1,TDP,0,YSRCP,2,4
99,VINUKONDA,GUNTUR,RURAL,FC,TDP,CPI,INC,IND,TDP,0,INC,1,TDP,2,TDP,2,YSRCP,2,3
100,GURAJALA,GUNTUR,RURAL,FC,TDP,TDP,INC,TDP,INC,0,INC,1,TDP,2,TDP,1,YSRCP,2,3
101,MACHERLA,GUNTUR,RURAL,FC,TDP,INC,TDP,TDP,TDP,0,INC,2,INC,1,YSRCP,0,YSRCP,2,4
103,DARSI,PRAKASAM,RURAL,FC,TDP,TDP,INC,TDP,INC,2,IND,0,INC,2,TDP,0,YSRCP,2,3
104,PARCHUR,PRAKASAM,RURAL,FC,TDP,TDP,TDP,INC,TDP,0,INC,2,INC,0,TDP,2,TDP,0,0
105,ADDANKI,PRAKASAM,RURAL,FC,TDP,TDP,INC,IND,TDP,0,TDP,0,INC,2,YSRCP,0,TDP,2,2
106,CHIRALA,PRAKASAM,SEMI_URBAN,OBC,TDP,TDP,INC,TDP,TDP,2,INC,2,INC,2,NPT,2,TDP,2,0
107,SANTHANUTHALAPADU,PRAKASAM,RURAL,FC,TDP,TDP,INC,CPM,TDP,2,INC,2,INC,1,YSRCP,0,YSRCP,1,0
108,ONGOLE,PRAKASAM,SEMI_URBAN,OBC,TDP,TDP,INC,TDP,INC,1,INC,2,INC,2,TDP,2,YSRCP,2,4
109,KANDUKUR,PRAKASAM,RURAL,FC,TDP,INC,INC,TDP,TDP,0,INC,1,INC,0,YSRCP,0,YSRCP,2,2
110,KONDAPI,PRAKASAM,RURAL,FC,TDP,INC,INC,TDP,TDP,2,INC,1,INC,1,TDP,1,TDP,0,5
111,MARKAPURAM,PRAKASAM,RURAL,FC,TDP,INC,INC,IND,INC,1,INC,2,TDP,1,YSRCP,1,YSRCP,2,1
112,GIDDALUR,PRAKASAM,RURAL,OBC,TDP,IND,INC,TDP,TDP,0,INC,2,PRAP,1,YSRCP,2,YSRCP,2,4
113,KANIGIRI,PRAKASAM,RURAL,FC,TDP,TDP,INC,TDP,INC,1,INC,1,INC,0,TDP,1,YSRCP,2,5
114,KAVALI,NELLORE,RURAL,OBC,TDP,INC,INC,INC,TDP,2,INC,2,TDP,2,YSRCP,0,YSRCP,2,1
115,ATMAKUR,NELLORE,RURAL,FC,TDP,INC,INC,TDP,INC,0,IND,0,INC,2,YSRCP,2,YSRCP,2,1
116,KOVUR,NELLORE,RURAL,OBC,TDP,TDP,INC,TDP,TDP,2,INC,0,TDP,1,TDP,1,YSRCP,2,3
117,NELLORE CITY,NELLORE,URBAN,OBC,TDP,INC,IND,TDP,INC,1,INC,2,PRAP,0,YSRCP,2,YSRCP,0,1
119,SARVEPALLI,NELLORE,RURAL,OBC,TDP,TDP,INC,TDP,TDP,2,INC,1,INC,2,YSRCP,1,YSRCP,2,5
120,GUDUR,NELLORE,RURAL,OBC,TDP,TDP,INC,TDP,TDP,1,INC,1,TDP,2,YSRCP,1,YSRCP,2,2
121,SULLURPETA,NELLORE,RURAL,OBC,TDP,TDP,INC,TDP,TDP,1,INC,1,TDP,1,YSRCP,0,YSRCP,2,2
122,VENKATAGIRI,NELLORE,RURAL,OBC,TDP,TDP,INC,TDP,INC,2,INC,1,TDP,1,TDP,1,YSRCP,2,3
123,UDAYAGIRI,NELLORE,RURAL,FC,BJP,INC,INC,IND,TDP,0,INC,2,INC,2,TDP,0,YSRCP,2,4
124,BADVEL,KADAPA,RURAL,OBC,ICJ,TDP,INC,TDP,TDP,1,INC,1,INC,2,YSRCP,2,YSRCP,2,2
125,RAJAMPET,KADAPA,RURAL,OBC,INC,TDP,INC,TDP,TDP,0,INC,2,INC,2,TDP,2,YSRCP,2,4
126,KADAPA,KADAPA,URBAN,FC,TDP,TDP,INC,TDP,TDP,1,INC,2,INC,1,YSRCP,2,YSRCP,2,4
127,KODUR,KADAPA,RURAL,OBC,TDP,TDP,TDP,TDP,TDP,2,INC,2,INC,2,YSRCP,0,YSRCP,2,2
128,RAYACHOTI,KADAPA,RURAL,OBC,TDP,INC,INC,INC,TDP,1,TDP,0,INC,2,YSRCP,2,YSRCP,2,2
129,PULIVENDLA,KADAPA,RURAL,FC,INC,INC,INC,INC,INC,2,INC,2,INC,2,YSRCP,2,YSRCP,2,1
130,KAMALAPURAM,KADAPA,RURAL,FC,TDP,INC,INC,TDP,INC,2,TDP,2,INC,0,YSRCP,1,YSRCP,2,1
131,JAMMALAMADUGU,KADAPA,RURAL,OBC,TDP,TDP,TDP,TDP,TDP,0,INC,2,INC,1,YSRCP,2,YSRCP,2,4
132,PRODDATUR,KADAPA,URBAN,OBC,TDP,TDP,INC,INC,INC,0,INC,2,TDP,2,YSRCP,2,YSRCP,2,1
133,MYDUKUR,KADAPA,RURAL,OBC,INC,TDP,INC,INC,TDP,1,INC,1,INC,0,YSRCP,2,YSRCP,2,1
134,ALLAGADDA,KURNOOL,RURAL,SC,TDP,INC,TDP,TDP,TDP,2,INC,2,PRAP,0,YSRCP,2,YSRCP,2,1
136,NANDIKOTKUR,KURNOOL,RURAL,OBC,TDP,TDP,INC,TDP,TDP,2,INC,2,INC,1,YSRCP,2,YSRCP,2,4
137,KURNOOL,KURNOOL,URBAN,OBC,TDP,INC,INC,CPM,TDP,2,CPM,0,INC,2,YSRCP,0,YSRCP,1,1
138,PANYAM,KURNOOL,SEMI_URBAN,OBC,TDP,INC,INC,INC,TDP,2,INC,0,INC,1,YSRCP,2,YSRCP,2,1
139,NANDYAL,KURNOOL,SEMI_URBAN,OBC,TDP,TDP,INC,TDP,TDP,0,INC,2,INC,2,YSRCP,0,YSRCP,2,2
140,BANAGANAPALLE,KURNOOL,RURAL,OBC,TDP,TDP,TDP,TDP,INC,2,INC,0,PRAP,2,TDP,2,YSRCP,2,3
141,DHONE,KURNOOL,RURAL,OBC,INC,TDP,INC,INC,TDP,2,INC,0,TDP,0,YSRCP,2,YSRCP,2,1
142,PATTIKONDA,KURNOOL,RURAL,OBC,INC,TDP,INC,TDP,TDP,2,TDP,0,TDP,1,TDP,1,YSRCP,2,3
143,KODUMUR,KURNOOL,RURAL,OBC,INC,TDP,IND,INC,INC,2,INC,2,INC,1,YSRCP,2,YSRCP,2,1
144,YEMMIGANUR,KURNOOL,RURAL,OBC,INC,TDP,TDP,TDP,TDP,2,INC,2,INC,0,TDP,2,YSRCP,2,0
146,ADONI,KURNOOL,SEMI_URBAN,OBC,TDP,INC,INC,TDP,TDP,2,INC,2,TDP,0,YSRCP,2,YSRCP,2,1
147,ALUR,KURNOOL,RURAL,ST,TDP,INC,INC,TDP,INC,1,INC,0,INC,1,YSRCP,0,YSRCP,2,1
148,RAYADURG,ANANTAPUR,RURAL,OBC,TDP,INC,INC,TDP,INC,1,TDP,2,INC,2,TDP,0,YSRCP,2,2
149,URAVAKONDA,ANANTAPUR,RURAL,OBC,TDP,TDP,INC,TDP,INC,1,TDP,1,TDP,0,YSRCP,0,TDP,0,2
150,GUNTAKAL,ANANTAPUR,SEMI_URBAN,OBC,TDP,TDP,INC,TDP,TDP,2,INC,1,INC,1,TDP,1,YSRCP,2,5
151,TADPATRI,ANANTAPUR,RURAL,OBC,TDP,INC,INC,INC,INC,0,INC,1,INC,1,TDP,2,YSRCP,1,1
152,SINGANAMALA,ANANTAPUR,RURAL,OBC,TDP,TDP,INC,TDP,TDP,0,INC,1,INC,0,TDP,0,YSRCP,2,5
153,ANANTAPUR URBAN,ANANTAPUR,URBAN,OBC,TDP,TDP,INC,CPI,INC,0,INC,2,INC,2,TDP,1,YSRCP,2,5
154,KALYANDURG,ANANTAPUR,RURAL,OBC,TDP,CPI,INC,TDP,TDP,2,TDP,1,INC,0,TDP,2,YSRCP,2,5
156,MADAKASIRA,ANANTAPUR,RURAL,OBC,INC,TDP,INC,TDP,INC,2,INC,2,INC,2,TDP,2,YSRCP,2,5
157,HINDUPUR,ANANTAPUR,SEMI_URBAN,OBC,TDP,TDP,TDP,TDP,TDP,2,TDP,1,TDP,1,TDP,2,TDP,2,5
158,PENUKONDA,ANANTAPUR,RURAL,OBC,TDP,TDP,INC,TDP,TDP,2,TDP,2,TDP,2,TDP,2,YSRCP,2,3
159,PUTTAPARTHI,ANANTAPUR,RURAL,OBC,TDP,TDP,INC,TDP,TDP,2,INC,0,TDP,0,TDP,1,YSRCP,2,3
160,DHARMAVARAM,ANANTAPUR,SEMI_URBAN,OBC,TDP,TDP,TDP,TDP,INC,1,TDP,0,INC,2,TDP,2,YSRCP,2,2
161,KADIRI,ANANTAPUR,RURAL,OBC,TDP,TDP,INC,TDP,BJP,1,INC,1,TDP,2,YSRCP,0,YSRCP,2,2
162,THAMBALLAPALLE,CHITTOOR,RURAL,OBC,TDP,TDP,IND,TDP,INC,1,INC,0,TDP,0,TDP,1,YSRCP,2,3
163,PILERU,CHITTOOR,RURAL,OBC,TDP,TDP,INC,TDP,INC,2,INC,2,INC,1,YSRCP,2,YSRCP,1,0
164,MADANAPALLE,CHITTOOR,SEMI_URBAN,OBC,TDP,TDP,INC,TDP,TDP,2,TDP,1,INC,2,YSRCP,2,YSRCP,2,2
165,PUNGANUR,CHITTOOR,RURAL,OBC,TDP,TDP,TDP,TDP,INC,1,TDP,1,INC,2,YSRCP,2,YSRCP,2,2
166,CHANDRAGIRI,CHITTOOR,RURAL,OBC,TDP,TDP,INC,TDP,INC,0,INC,2,INC,2,YSRCP,0,YSRCP,2,2
167,TIRUPATI,CHITTOOR,URBAN,OBC,TDP,INC,INC,TDP,TDP,2,INC,2,PRAP,2,TDP,2,TDP,0,0
168,SRIKALAHASTI,CHITTOOR,RURAL,OBC,TDP,TDP,TDP,TDP,TDP,1,INC,2,TDP,2,TDP,1,YSRCP,2,3
169,SATYAVEDU,CHITTOOR,RURAL,OBC,TDP,TDP,INC,TDP,TDP,1,INC,2,TDP,1,TDP,0,YSRCP,2,4
170,NAGARI,CHITTOOR,SEMI_URBAN,OBC,TDP,INC,INC,TDP,INC,0,INC,1,TDP,0,YSRCP,0,YSRCP,0,1
171,GANGADHARA NELLORE,CHITTOOR,RURAL,FC,TDP,INC,INC,TDP,INC,2,INC,2,INC,2,YSRCP,2,YSRCP,2,1
172,CHITTOOR,CHITTOOR,SEMI_URBAN,OBC,TDP,INC,IND,INC,INC,2,TDP,0,INC,0,TDP,1,YSRCP,2,1
174,PALAMANER,CHITTOOR,RURAL,OBC,TDP,TDP,TDP ,TDP,INC,0,TDP,0,TDP,2,YSRCP,0,YSRCP,2,2
175,KUPPAM,CHITTOOR,RURAL,OBC,TDP,TDP,TDP,TDP,TDP,2,TDP,2,TDP,2,TDP,2,TDP,2,3
